country,iso3,region,subregion,year,authority,authority_band,enforcement_capacity,enforcement_capacity_band,information_control,information_control_band,institutional_capacity,institutional_capacity_band,legitimacy,legitimacy_band,resource_concentration,resource_concentration_band,prototype_note
Ethiopia,ETH,Africa,Eastern Africa,1990,41.2,Medium,48.0,Medium,42.1,Medium,31.6,Low,48.1,Medium,54.3,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,1991,41.1,Medium,47.5,Medium,42.6,Medium,31.5,Low,48.0,Medium,54.4,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,1992,40.0,Medium,47.0,Medium,43.2,Medium,32.9,Low,48.0,Medium,54.4,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,1993,39.5,Low,46.9,Medium,43.2,Medium,33.0,Low,48.4,Medium,54.2,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,1994,38.6,Low,48.0,Medium,42.9,Medium,34.4,Low,49.0,Medium,54.2,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,1995,38.9,Low,48.7,Medium,43.5,Medium,35.7,Low,48.9,Medium,54.5,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,1996,38.1,Low,50.0,Medium,43.7,Medium,36.6,Low,49.5,Medium,54.2,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,1997,37.5,Low,50.8,Medium,44.0,Medium,37.3,Low,50.4,Medium,53.7,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,1998,37.0,Low,51.0,Medium,44.8,Medium,37.8,Low,50.9,Medium,54.2,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,1999,37.3,Low,51.3,Medium,44.4,Medium,36.9,Low,51.2,Medium,55.6,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2000,37.1,Low,52.2,Medium,44.8,Medium,37.1,Low,51.4,Medium,56.5,Medium,Synthetic safe prototype data; not factual.
