country,iso3,region,subregion,year,stress_index,stress_band,state_regime,event_signal,event_type_primary,event_phase,coverage_count,coverage_ratio,confidence_band,synthetic_flag
Ethiopia,ETH,Africa,Eastern Africa,1990,49.5,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,1991,50.0,High,Escalated,0.0,Baseline,latent,8,0.25,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,1992,49.5,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,1993,49.8,Medium,Watch,0.0,Baseline,latent,8,0.25,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,1994,49.1,Medium,Watch,0.0,Baseline,latent,10,0.312,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,1995,48.3,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,1996,48.3,Medium,Watch,0.0,Baseline,latent,10,0.312,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,1997,47.9,Medium,Watch,0.0,Baseline,latent,9,0.281,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,1998,47.4,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,1999,48.3,Medium,Watch,0.077,Enforcement strain,build,13,0.406,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2000,48.2,Medium,Watch,0.114,Enforcement strain,build,16,0.5,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2001,49.1,Medium,Watch,0.151,Enforcement strain,active,13,0.406,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2002,49.7,Medium,Watch,0.178,Enforcement strain,active,11,0.344,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2003,49.8,Medium,Watch,0.188,Enforcement strain,active,11,0.344,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2004,49.3,Medium,Watch,0.178,Enforcement strain,active,13,0.406,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2005,49.4,Medium,Watch,0.151,Enforcement strain,active,11,0.344,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2006,48.9,Medium,Watch,0.114,Enforcement strain,build,11,0.344,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2007,48.4,Medium,Watch,0.077,Enforcement strain,build,12,0.375,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2008,47.0,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2009,47.0,Medium,Watch,0.0,Baseline,latent,14,0.438,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2010,46.8,Medium,Watch,0.0,Baseline,latent,14,0.438,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2011,47.2,Medium,Watch,0.0,Baseline,latent,14,0.438,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2012,47.0,Medium,Watch,0.0,Baseline,latent,17,0.531,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2013,47.6,Medium,Watch,0.0,Baseline,latent,16,0.5,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2014,48.1,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2015,47.7,Medium,Watch,0.0,Baseline,latent,16,0.5,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2016,48.3,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2017,50.1,High,Escalated,0.109,Enforcement strain,build,16,0.5,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2018,51.7,High,Escalated,0.162,Enforcement strain,active,13,0.406,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2019,52.2,High,Escalated,0.213,Enforcement strain,active,15,0.469,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2020,52.3,High,Escalated,0.252,Enforcement strain,active,18,0.562,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2021,53.8,High,Escalated,0.266,Enforcement strain,active,11,0.344,Low,Yes
Ethiopia,ETH,Africa,Eastern Africa,2022,52.9,High,Escalated,0.252,Enforcement strain,active,15,0.469,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2023,51.6,High,Escalated,0.213,Enforcement strain,active,18,0.562,Medium,Yes
Ethiopia,ETH,Africa,Eastern Africa,2024,50.2,High,Escalated,0.162,Enforcement strain,active,20,0.625,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,1990,46.6,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Kenya,KEN,Africa,Eastern Africa,1991,46.6,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Kenya,KEN,Africa,Eastern Africa,1992,46.5,Medium,Watch,0.032,Baseline,latent,11,0.344,Low,Yes
Kenya,KEN,Africa,Eastern Africa,1993,48.3,Medium,Watch,0.142,External spillover,build,7,0.219,Low,Yes
Kenya,KEN,Africa,Eastern Africa,1994,49.5,Medium,Watch,0.234,External spillover,active,10,0.312,Low,Yes
Kenya,KEN,Africa,Eastern Africa,1995,48.2,Medium,Watch,0.142,External spillover,build,10,0.312,Low,Yes
Kenya,KEN,Africa,Eastern Africa,1996,45.9,Medium,Watch,0.032,Baseline,latent,13,0.406,Low,Yes
Kenya,KEN,Africa,Eastern Africa,1997,45.5,Medium,Watch,0.0,Baseline,latent,10,0.312,Low,Yes
Kenya,KEN,Africa,Eastern Africa,1998,44.4,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Kenya,KEN,Africa,Eastern Africa,1999,44.0,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2000,43.6,Medium,Watch,0.0,Baseline,latent,16,0.5,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2001,43.8,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Kenya,KEN,Africa,Eastern Africa,2002,43.7,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Kenya,KEN,Africa,Eastern Africa,2003,43.7,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2004,44.5,Medium,Watch,0.0,Baseline,latent,8,0.25,Low,Yes
Kenya,KEN,Africa,Eastern Africa,2005,43.9,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2006,43.5,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2007,43.6,Medium,Watch,0.044,Baseline,latent,15,0.469,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2008,46.8,Medium,Watch,0.196,Enforcement strain,active,11,0.344,Low,Yes
Kenya,KEN,Africa,Eastern Africa,2009,49.4,Medium,Watch,0.323,Enforcement strain,active,12,0.375,Low,Yes
Kenya,KEN,Africa,Eastern Africa,2010,47.8,Medium,Watch,0.196,Enforcement strain,active,14,0.438,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2011,45.8,Medium,Watch,0.044,Baseline,latent,13,0.406,Low,Yes
Kenya,KEN,Africa,Eastern Africa,2012,44.4,Medium,Watch,0.0,Baseline,latent,18,0.562,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2013,44.1,Medium,Watch,0.0,Baseline,latent,18,0.562,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2014,44.8,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Kenya,KEN,Africa,Eastern Africa,2015,44.2,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2016,45.0,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Kenya,KEN,Africa,Eastern Africa,2017,44.1,Medium,Watch,0.0,Baseline,latent,16,0.5,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2018,44.2,Medium,Watch,0.025,Baseline,latent,18,0.562,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2019,45.1,Medium,Watch,0.114,Governance stress,build,18,0.562,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2020,46.5,Medium,Watch,0.187,Governance stress,active,16,0.5,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2021,45.9,Medium,Watch,0.114,Governance stress,build,15,0.469,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2022,43.9,Medium,Watch,0.025,Baseline,latent,21,0.656,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2023,43.4,Medium,Watch,0.0,Baseline,latent,17,0.531,Medium,Yes
Kenya,KEN,Africa,Eastern Africa,2024,42.9,Medium,Watch,0.0,Baseline,latent,18,0.562,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,1990,48.6,Medium,Watch,0.0,Baseline,latent,14,0.438,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,1991,48.9,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,1992,49.5,Medium,Watch,0.0,Baseline,latent,7,0.219,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,1993,48.5,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,1994,48.3,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,1995,48.6,Medium,Watch,0.0,Baseline,latent,6,0.188,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,1996,47.2,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,1997,48.9,Medium,Watch,0.089,Governance stress,build,12,0.375,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,1998,50.4,High,Escalated,0.166,Governance stress,active,9,0.281,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,1999,51.5,High,Escalated,0.242,Governance stress,active,9,0.281,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,2000,52.3,High,Escalated,0.274,Governance stress,active,10,0.312,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,2001,51.8,High,Escalated,0.242,Governance stress,active,11,0.344,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,2002,51.4,High,Escalated,0.166,Governance stress,active,6,0.188,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,2003,48.6,Medium,Watch,0.089,Governance stress,build,14,0.438,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2004,47.0,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,2005,46.6,Medium,Watch,0.021,Baseline,latent,13,0.406,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,2006,47.6,Medium,Watch,0.094,Fiscal shock,build,12,0.375,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,2007,47.9,Medium,Watch,0.155,Fiscal shock,active,15,0.469,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2008,47.1,Medium,Watch,0.094,Fiscal shock,build,14,0.438,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2009,46.6,Medium,Watch,0.021,Baseline,latent,12,0.375,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,2010,45.4,Medium,Watch,0.0,Baseline,latent,16,0.5,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2011,45.9,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Mozambique,MOZ,Africa,Eastern Africa,2012,44.8,Medium,Watch,0.0,Baseline,latent,19,0.594,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2013,44.7,Medium,Watch,0.0,Baseline,latent,17,0.531,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2014,44.8,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2015,44.8,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2016,44.6,Medium,Watch,0.0,Baseline,latent,16,0.5,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2017,44.9,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2018,45.1,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2019,45.0,Medium,Watch,0.0,Baseline,latent,16,0.5,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2020,44.5,Medium,Watch,0.0,Baseline,latent,20,0.625,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2021,44.8,Medium,Watch,0.0,Baseline,latent,16,0.5,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2022,44.6,Medium,Watch,0.0,Baseline,latent,17,0.531,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2023,44.1,Medium,Watch,0.0,Baseline,latent,20,0.625,Medium,Yes
Mozambique,MOZ,Africa,Eastern Africa,2024,43.8,Medium,Watch,0.0,Baseline,latent,21,0.656,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,1990,48.0,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,1991,48.2,Medium,Watch,0.0,Baseline,latent,9,0.281,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,1992,47.8,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,1993,47.3,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,1994,49.1,Medium,Watch,0.131,Fiscal shock,build,11,0.344,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,1995,50.6,High,Escalated,0.194,Fiscal shock,active,8,0.25,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,1996,50.9,High,Escalated,0.256,Fiscal shock,active,12,0.375,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,1997,53.5,High,Escalated,0.404,Fiscal shock,active,8,0.25,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,1998,55.8,High,Escalated,0.509,Fiscal shock,active,5,0.156,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,1999,57.0,High,Escalated,0.578,Fiscal shock,cooling,9,0.281,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,2000,57.7,High,Escalated,0.568,Institutional transition,active,6,0.188,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,2001,56.5,High,Escalated,0.47,Institutional transition,active,6,0.188,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,2002,54.1,High,Escalated,0.321,Institutional transition,active,9,0.281,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,2003,49.9,Medium,Watch,0.101,Institutional transition,build,13,0.406,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,2004,48.0,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,2005,47.6,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,2006,47.7,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,2007,47.0,Medium,Watch,0.0,Baseline,latent,14,0.438,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2008,47.0,Medium,Watch,0.0,Baseline,latent,16,0.5,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2009,46.7,Medium,Watch,0.0,Baseline,latent,19,0.594,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2010,47.4,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2011,47.6,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,2012,47.7,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Tanzania,TZA,Africa,Eastern Africa,2013,47.4,Medium,Watch,0.0,Recovery window,recovery,14,0.438,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2014,47.3,Medium,Watch,0.0,Recovery window,recovery,15,0.469,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2015,47.0,Medium,Watch,0.0,Recovery window,recovery,18,0.562,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2016,47.0,Medium,Watch,0.0,Recovery window,recovery,18,0.562,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2017,47.1,Medium,Watch,0.0,Recovery window,recovery,18,0.562,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2018,47.0,Medium,Watch,0.0,Recovery window,recovery,18,0.562,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2019,46.8,Medium,Watch,0.0,Recovery window,recovery,18,0.562,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2020,46.9,Medium,Watch,0.0,Recovery window,recovery,17,0.531,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2021,46.5,Medium,Watch,0.0,Recovery window,recovery,18,0.562,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2022,46.0,Medium,Watch,0.0,Baseline,latent,18,0.562,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2023,45.7,Medium,Watch,0.0,Baseline,latent,17,0.531,Medium,Yes
Tanzania,TZA,Africa,Eastern Africa,2024,44.7,Medium,Watch,0.0,Baseline,latent,21,0.656,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,1990,44.5,Medium,Watch,0.0,Baseline,latent,9,0.281,Low,Yes
Uganda,UGA,Africa,Eastern Africa,1991,44.7,Medium,Watch,0.0,Baseline,latent,6,0.188,Low,Yes
Uganda,UGA,Africa,Eastern Africa,1992,43.8,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Uganda,UGA,Africa,Eastern Africa,1993,43.7,Medium,Watch,0.0,Baseline,latent,10,0.312,Low,Yes
Uganda,UGA,Africa,Eastern Africa,1994,43.3,Medium,Watch,0.0,Baseline,latent,8,0.25,Low,Yes
Uganda,UGA,Africa,Eastern Africa,1995,42.8,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Uganda,UGA,Africa,Eastern Africa,1996,42.4,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Uganda,UGA,Africa,Eastern Africa,1997,42.2,Medium,Watch,0.0,Baseline,latent,10,0.312,Low,Yes
Uganda,UGA,Africa,Eastern Africa,1998,42.1,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Uganda,UGA,Africa,Eastern Africa,1999,42.1,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2000,42.0,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2001,42.4,Medium,Watch,0.0,Baseline,latent,8,0.25,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2002,44.8,Medium,Watch,0.17,Fiscal shock,active,10,0.312,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2003,46.1,Medium,Watch,0.251,Fiscal shock,active,12,0.375,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2004,48.1,Medium,Watch,0.332,Fiscal shock,active,10,0.312,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2005,49.2,Medium,Watch,0.392,Fiscal shock,active,10,0.312,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2006,50.4,High,Escalated,0.415,Fiscal shock,active,9,0.281,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2007,50.1,High,Escalated,0.406,Fiscal shock,active,13,0.406,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2008,50.6,High,Escalated,0.393,Fiscal shock,active,10,0.312,Low,Yes
